site,cost,gain,score
1,4368.220045046103,92.78051858195886,0.6294488934453605
2,593.5018706458262,20.62825552207164,0.5796616435849986
3,542.800243618018,11.459508475663483,0.44854918866083465
4,8998.235195612704,163.6998277834864,0.8173002601665895
5,50.49655554560504,1.2499047336460762,0.5236544061888336
6,7283.831453624731,267.2045042848222,0.8048027243170423
7,8486.604802279193,259.106001637947,0.834328322391971
8,1506.678216695312,174.73679810093722,0.7214530724409957
9,44.00143326487948,1.3288156337579764,0.37732498830111705
10,10341.375835735722,146.89740341811012,0.788962933801666
11,4822.8132681605875,488.6959606445498,0.7970246524847185
12,5775.38008044751,431.15500848855936,0.843415515557005
13,8940.590210281674,193.2030093059402,0.800800308995531
14,479.080861234082,57.420300085336066,0.8780775579003866
15,2928.04452188849,112.91711414412157,0.6613978320383147
16,10033.756512083593,154.24801248731092,0.750433525692801
17,9334.72425096686,313.59540532557,0.791301240239997
18,10053.909743678663,213.02440450843824,0.7622053395470894
19,8326.01570485738,257.06294815932233,0.7588274467948108
20,9217.76428724863,207.55140332114752,0.7677286130978974
21,10543.415973149455,152.61035820795223,0.7649700201860942
22,7861.46387092229,246.1732792565317,0.7962709905831655
23,9211.915963817677,232.8499411696066,0.7530857868774469
24,8699.260620460467,238.509486983221,0.7972364242854645
25,5365.6109231612745,422.7753861847741,0.8409348752554069
26,8662.818939139353,353.6816363783237,0.8927842767841117
27,4239.5471983116395,440.32597812422046,0.8527079448277913
28,-22198.59707671792,544.738535473778,0.8689259555135573
29,8136.592828697233,463.9046329666644,0.7630715118402286
30,9166.034900705694,359.52764819590084,0.7473460713352392
31,5686.694752336694,452.55175382177003,0.8327480365748225
32,11359.782579221797,101.72482319087794,0.8397753696856384
33,13647.099375884774,52.23378261597463,0.9808505734842377
34,4373.999829524498,374.66635945434155,0.5545979256639394
35,9282.551300997251,172.8210368540058,0.6289204253617078
36,5890.272341491334,438.2744503902268,0.6491597696357772
37,10966.188446460448,137.50218597885942,0.8223799885232753
38,6667.324946896526,311.1244290477134,0.8143194501772006
39,9336.988004745193,216.97047182350798,0.8151226652984574
40,9869.919301413682,295.8059382252868,0.8450009324150115
41,9460.193262008317,196.34169662769455,0.768569831756621
42,10192.996925491361,164.1547658423624,0.7794075395670579
43,10790.419874004636,152.04308970300735,0.7927238167421286
44,7624.718168262697,282.84806706589916,0.753832579080286
45,4135.33851842385,613.436018600285,0.8568812547728328
46,10445.372137229877,112.0573297237097,0.6465279465896571
47,8013.347752099245,201.26590151587425,0.8261218393721487
48,3991.7522949365557,448.2055192271082,0.5475760220356543
49,5633.609915688066,787.8121070262541,0.9131539253476559
50,10282.293852069037,170.0938384570254,0.7823021038187581
51,6422.960464135294,232.8866534732988,0.7735038492954683
52,11179.053721791202,91.55219020972436,0.8684015946682203
53,10140.189940987844,143.18904946808289,0.805739644685514
54,8292.351286542113,238.7003997537522,0.7710302633129568
55,7534.040665384292,314.0977354766619,0.7936687689322065
56,12429.225291156657,76.88705714342905,0.8707755834070157
57,10116.367597021152,160.41371047162465,0.8102260615673083
58,10676.721623854093,154.16013388014107,0.8069929183687932
59,12535.322320010617,70.53624708740972,0.9316865882664228
60,8987.614726148035,211.60643684484057,0.7271286496973018
61,9749.968050127245,196.8915742389745,0.7847101808795383
62,-323882.23348990775,475.69312011485454,0.8880982220206036
63,3677.2550207328854,455.56814621401963,0.7432982716569507
64,6427.311855205234,347.719315069251,0.6993976182747865
65,1830.655368990231,442.7866853104954,0.7482775381332523
66,3245.77743204879,428.60334441674695,0.768076634499499
67,8137.255479957639,263.2088948136243,0.6196324199413079
68,9233.340427492127,207.16951692430303,0.8055228962049296
69,8692.253009761793,328.0030581837782,0.8215011825187728
70,1610.1673755423926,721.1216287830571,0.8356172960814503
