1	4368.22
2	593.5019
3	542.8002
4	8998.2352
5	50.4966
6	7283.8315
7	8486.6048
8	1506.6782
9	44.0014
10	10341.3758
11	4822.8133
12	5775.3801
13	8940.5902
14	479.0809
15	2928.0445
16	10033.7565
17	9334.7243
18	10053.9097
19	8326.0157
20	9217.7643
21	10543.416
22	7861.4639
23	9211.916
24	8699.2606
25	5365.6109
26	8662.8189
27	4239.5472
28	-22198.5971
29	8136.5928
30	9166.0349
31	5686.6948
32	11359.7826
33	13647.0994
34	4373.9998
35	9282.5513
36	5890.2723
37	10966.1884
38	6667.3249
39	9336.988
40	9869.9193
41	9460.1933
42	10192.9969
43	10790.4199
44	7624.7182
45	4135.3385
46	10445.3721
47	8013.3478
48	3991.7523
49	5633.6099
50	10282.2939
51	6422.9605
52	11179.0537
53	10140.1899
54	8292.3513
55	7534.0407
56	12429.2253
57	10116.3676
58	10676.7216
59	12535.3223
60	8987.6147
61	9749.9681
62	-323882.2335
63	3677.255
64	6427.3119
65	1830.6554
66	3245.7774
67	8137.2555
68	9233.3404
69	8692.253
70	1610.1674
